company_name-discard,date_of_post,hashtag,comments,shares,likes,views,post_type
Coca-Cola,"Sep 12, 2023",#CocaColaCreations,3200,2000,2700,3100000,Memes
Coca-Cola,"Sep 8, 2023",@oliviarodrigo,615,365,1300,358000,Carousel Posts
Coca-Cola,"Aug 13, 2023",,550,415,1300,478000,Memes
Coca-Cola,"Aug 6, 2023",#BelievingIsMagic,340,254,868,208000,Videos
Coca-Cola,"Aug 5, 2023",https://youtu.be/HX9vJaXD8WE,123,214,736,145000,Stories
Coca-Cola,"Jul 26, 2023",#AlwaysPossible,340,285,1500,15000000,Carousel Posts
Coca-Cola,"Jul 22, 2023",#BelievingIsMagic,239,313,1800,18000000,Polls
Coca-Cola,"Jul 3, 2023",,170,672,100000,,Static Images
Coca-Cola,"Jul 3, 2023",,57,174,492,82000,Carousel Posts
Coca-Cola,"Jun 28, 2023",,114,180,822,91000,Infographics
Coca-Cola,"Jun 24, 2023",@JIDsv,80,770,2400,149000,Carousel Posts
Coca-Cola,"Jun 22, 2023",#CocaColaUltimate,62,217,716,77000,Videos
Coca-Cola,"Jun 8, 2023",@leagueoflegends,87,292,1200,250000,Memes
Coca-Cola,"Jun 8, 2023",#CokeStudio,37,197,660,54000,Infographics
Coca-Cola,"Jun 8, 2023",#CokeStudio,37,197,660,54000,Reels
Coca-Cola,"Jun 7, 2023",#TasteTheXP,130,468,1800,558000,Polls
Coca-Cola,"Jun 2, 2023",,49,184,609,53000,Infographics
Coca-Cola,"Jun 1, 2023",#CokeStudio,62,274,858,116000,Memes
Coca-Cola,"May 31, 2023",@JonBatiste,35,434,1400,164000,Product Showcases
Coca-Cola,"May 24, 2023",@JonBatiste,79,836,2300,171000,Static Images
Coca-Cola,"May 22, 2023",#CocaColaCreations,64,297,1200,289000,Polls
Coca-Cola,"Apr 27, 2023",,82,73,289,56000,Static Images
Coca-Cola,"May 8, 2023",#HaveACokeDay,156,799,293000,,Product Showcases
Coca-Cola,"May 13, 2023",#HaveACokeDay,30,15,75,38000,Stories
Coca-Cola,"Apr 27, 2023",,82,73,289,56000,Stories
Coca-Cola,"Apr 19, 2023",,61,51,216,53000,Reels
Coca-Cola,"Apr 4, 2023",@UConnMBB,55,37,170,56000,Memes
Coca-Cola,"Apr 4, 2023",#takeataste,40,40,150,44000,Memes
Coca-Cola,"Apr 4, 2023",#takeataste,25,42,172,42000,Live Streams
Coca-Cola,"Apr 4, 2023",#takeataste,23,23,109,38000,Product Showcases
Coca-Cola,"Apr 4, 2023",@LSUwbkb,12,15,78,36000,Videos
Coca-Cola,"Apr 1, 2023",#takeataste,44,28,121,41000,Product Showcases
Coca-Cola,"Mar 29, 2023",#takeataste,27,11,71,53000,Static Images
Coca-Cola,"Mar 29, 2023",#takeataste,27,11,71,53000,Memes
Coca-Cola,"Mar 6, 2023",@StenhouseJr,91,43,233,49000,Memes
Coca-Cola,"Mar 2, 2023",@McDonalds,132,49,232,75000,Carousel Posts
Coca-Cola,"Feb 16, 2023",,78,35,165,62000,Videos
Coca-Cola,"Feb 11, 2023",@rosalia,91,31,162,68000,Videos
Coca-Cola,"Feb 11, 2023",,55,66,349,84000,Videos
Coca-Cola,"Nov 10, 2022",#CocaColaDreamworld,489,179,552,,Live Streams
Coca-Cola,"Nov 10, 2022",,117,47,241,,Stories
Coca-Cola,"Nov 7, 2022",#RealMagic,66,37,142,,Videos
Coca-Cola,"Nov 10, 2022",#CocaColaDreamworld,489,179,552,,Reels
Coca-Cola,"Nov 10, 2022",,117,47,241,,Infographics
Coca-Cola,"Nov 7, 2022",#RealMagic,66,37,142,,Static Images
Coca-Cola,"Nov 3, 2022",#CocaColaDreamworld,189,31,138,,Memes
Coca-Cola,"Oct 31, 2022",#CocaColaDreamworld,50,20,131,,Polls
Coca-Cola,"Oct 27, 2022",#CocaColaDreamworld,82,22,102,,Memes
Coca-Cola,"Oct 20, 2022",#CocaColaDreamworld,63,28,99,,Videos
Coca-Cola,"Oct 17, 2022",#CocaColaDreamworld,81,33,117,,Polls
Coca-Cola,"Oct 14, 2022",#CocaColaDreamworld,61,30,135,,Reels
Coca-Cola,"Oct 10, 2022",#CocaColaDreamworld,47,26,108,,Carousel Posts
Coca-Cola,"Sep 30, 2022",#CocaColaDreamworld,88,35,128,,Stories
Coca-Cola,"Sep 23, 2022",#CocaColaDreamworld,67,37,143,,Polls
Coca-Cola,"Sep 21, 2022",#CocaColaDreamworld,67,37,140,,Carousel Posts
Coca-Cola,"Sep 20, 2022",#CocaColaDreamworld,37,27,111,,Memes
Coca-Cola,"Sep 16, 2022",#CocaColaDreamworld,90,46,141,,Stories
Coca-Cola,"Sep 15, 2022",#HispanicHeritageMonth,50,42,138,,Live Streams
Coca-Cola,"Sep 14, 2022",#RealMagic,48,66,186,,Polls
Coca-Cola,"Sep 6, 2022",,33,23,79,,Live Streams
Coca-Cola,"Sep 3, 2022",#CocaColaDreamworld,60,26,124,,Videos
Coca-Cola,"Aug 31, 2022",#CocaColaDreamworld,37,22,102,,Reels
Coca-Cola,"Aug 30, 2022",http://coke.com/cokestudio,45,36,130,,Polls
Coca-Cola,"Aug 29, 2022",#CocaColaDreamworld,36,51,169,,Static Images
Coca-Cola,"Aug 25, 2022",#CocaColaDreamworld,201,32,132,,Memes
Coca-Cola,"Aug 23, 2022",#CocaColaDreamworld,53,29,109,,Stories
Coca-Cola,"Aug 19, 2022",#CocaColaDreamworld,93,27,121,,Live Streams
Coca-Cola,"Aug 15, 2022",#CocaColaDreamworld,145,119,347,,Live Streams
Coca-Cola,"Aug 11, 2022",,82,23,92,,Static Images
Coca-Cola,"Aug 10, 2022",#CocaColaCreations,110,100,276,,Carousel Posts
Coca-Cola,"Aug 9, 2022",@Marshmello,40,28,121,,Infographics
Coca-Cola,"Aug 8, 2022",,46,36,167,,Infographics
Coca-Cola,"Aug 3, 2022",#CocaColaXMarshmello,34,19,105,,Videos
Coca-Cola,"Aug 3, 2022",,20,17,201,,Videos
Coca-Cola,"Aug 2, 2022",#CocaColaXMarshmello,38,57,187,,Polls
Coca-Cola,"Aug 2, 2022",,20,18,107,,Live Streams
Coca-Cola,"Jul 29, 2022",,67,44,234,,Memes
Coca-Cola,"Jul 28, 2022",#CocaColaXMarshmello,32,23,133,,Carousel Posts
Coca-Cola,"Jul 27, 2022",#FriendshipDay,57,111,226,,Static Images
Coca-Cola,"Jul 24, 2022",@Marshmello,31,20,109,,Product Showcases
Coca-Cola,"Jul 20, 2022",@Marshmello,52,71,281,,Memes
Coca-Cola,"Jul 13, 2022",,122,78,543,,Polls
Coca-Cola,"Jul 11, 2022",#CocaColaXMarshmello,38,27,158,,Carousel Posts
Coca-Cola,"Jul 10, 2022",@Marshmello,45,42,254,,Static Images
Coca-Cola,"Jul 10, 2022",@marshmello,18,34,137,,Live Streams
Coca-Cola,"Jul 9, 2022",https://x.com/marshmello/sta/marshmello/status/1545812871140892674…,21,25,214,,Carousel Posts
Coca-Cola,"Jul 8, 2022",#CocaColaXMarshmello,15,19,95,,Static Images
Coca-Cola,"Jul 7, 2022",@Marshmello,19,16,122,,Stories
Coca-Cola,"Jul 4, 2022",#ShareACoke,57,52,199,,Reels
Coca-Cola,"Jun 29, 2022",#CocaColaCreations,108,267,784,,Static Images
Coca-Cola,"Jul 11, 2022",#CocaColaXMarshmello,38,27,158,,Polls
Coca-Cola,"Jul 14, 2022",@Marshmello,43,32,167,,Infographics
Coca-Cola,"Jul 14, 2022",@Marshmello,43,32,167,,Videos
Coca-Cola,"Jul 20, 2022",@Marshmello,52,71,281,,Videos
Coca-Cola,"Jul 19, 2022",,17,22,155,,Stories
Coca-Cola,"Jul 14, 2022",@Marshmello,43,32,167,,Videos
Coca-Cola,"Jul 13, 2022",,122,78,543,,Stories
Coca-Cola,"Jul 11, 2022",#CocaColaXMarshmello,38,27,158,,Reels
Coca-Cola,"Jul 10, 2022",@Marshmello,45,42,254,,Polls
Coca-Cola,"Jul 10, 2022",@marshmello,18,34,137,,Live Streams
Coca-Cola,"Jul 9, 2022",https://x.com/marshmello/sta/marshmello/status/1545812871140892674…,21,25,214,,Static Images
Coca-Cola,"Jul 8, 2022",#CocaColaXMarshmello,15,19,95,,Memes
Coca-Cola,"Jul 7, 2022",@Marshmello,19,16,122,,Reels
Coca-Cola,"Jul 4, 2022",#ShareACoke,57,52,199,,Carousel Posts
Coca-Cola,"Jun 29, 2022",#CocaColaCreations,108,267,784,,Static Images
